Rank,Word,Frequency,English Gloss,Proposed Tone,Verified Tone,Genesis Context
155,hwe,25,"kill, break (of glass, bottles, etc)",hwe,hwe,"Me vẹ owẹ ke re ọphọ, ne Me gbe cha vwẹ ame rẹ oghwe vwo hwe uvwo ejobi ọfa eyẹ vwọ vwẹ oghwe vwọ ghwọrọ akpọ na ọfa-a."
156,eyẹ,25,,,,"Me vẹ owẹ ke re ọphọ, ne Me gbe cha vwẹ ame rẹ oghwe vwo hwe uvwo ejobi ọfa eyẹ vwọ vwẹ oghwe vwọ ghwọrọ akpọ na ọfa-a."
157,lọt,25,,,,"Enana keye uvwiẹ ri Terah. Terah ọye ọsẹ rẹ Ebram, Nahọr kugbe Haran; Haran kọye ọsẹ ri Lọt."
158,vwi,25,stone,vwi,vwi,"Ẹdẹ rẹ akpọ ri Terah ejobi da dia ikpe uri gbe iyórĩ, Terah de ghwu vwi Haran."
159,leah,25,,,,"Ibiẹro ri Leah pha rhukpu rhukpu, ẹkẹvuọvo ọ ri Rachel pha sasasa yoyovwi."
160,izrẹl,25,,,,Ọ da so agbada phihọ Etiyin o de se odẹ rọye El-Elohe Izrẹl.
161,wan,24,,,,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
162,abimẹlẹk,24,,,,"Ebraham da ta kẹ Sera rẹ aye rọye, Wẹ oniọvo mẹ, Abimẹlẹk ovie ri Gẹra de ji ukọ ra reyọ Sera."
163,ọshare,23,man / Man,ọ́share,ọ́share,ubiedada rẹ Ọrovwohwo Ọghẹnẹ reyọre nẹ omá rẹ ọsháre rhe na o da vwọ ma ayé ọ da reyọ vwọ kẹ ọshare na.
164,ọnana,23,,,,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
165,kirobo,23,,,,"ivivẹ ọshare kugbe aye, vẹ Noa da ro evun rẹ okọ na, kirobo rẹ Ọghẹnẹ dje kẹ Noa."
166,erha,23,three / Three / Three (3),Erha,Erha,"Vwẹ ẹdẹ ọvuọvo na Noa vẹ emọ rọye, Shẹm vi Ham kugbe Jafẹt, aye ri Noa vẹ eya erha rẹ emọ rọye ejobi da ro evun rẹ okọ,"
167,ihwe,23,ten,íhwe,íhwe,"Noa da rhoma dia akpọ na ikpe uri gbẹ ujughwrẹ gbẹ ihwe, vwẹ ọke rẹ oghwe na vwo kunu."
168,keye,23,,,,Enana ẹ́rha na keye emọ ri Noa; enana erha na keye ri vwiẹ akpọ na soso.
169,uyovwi,23,head,uyovwi,uyovwi,"Vwọ kẹ oma wẹn, ku wo rhivwi bru esẹ wẹn ra egberhẹnẹdẹ, ke shi we vẹ uyovwi esha hẹrẹhẹrẹ."
170,mẹvwẹ,23,I  am,Mẹvwẹ,Mẹvwẹ,"Rẹ imu nana ejobi vwọ wan nu Ọghẹnẹ da davwe Ebraham ni, ọ da ta kẹ, Ebraham; O de nyo nẹ, Mẹvwẹ na."
171,ota,23,speech/word / Speech,otá,otá,Etiyin odibo na de phi obọ phihọ ekpoghowọ rẹ Ebraham rẹ onini rọye o de duvwu iyori fiki rẹ ota nana.
172,phia,22,,,,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
173,sera,22,,,,"Ọghẹnẹ da ta kẹ Ebraham, Vwọ kẹ Serai rẹ aye wẹn, wo gbi se Serai ọfa-a, ẹkẹvuọvo Sera kọye dia odẹ rọye."
174,nọ,22,ask / Ask,nọ,nọ,"O de mu emu kẹ nọ re, ẹkẹvuọvo ọ da ta, Me sa re emu re bẹsiẹ Me vwọ yan uwevwi mẹ nu. O da ta, Gba ta."
175,unu,21,hole / Hole   ;  mouth,unu,unu,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
176,owẹvwe,21,hunger,owẹvwe,owẹvwe,Vwẹ ọke nana owẹvwe de rhi fi vwẹ otọ na. Etiyin Ebram de kpo Ijipt ra dia fikiridie owẹvwe na firi gangan vwẹ otọ na.
177,ọrovwovwe,21,,,,"Ọ da ta, Da, ọrovwovwe; o de wo ochẹ na kpata kpata, ọ da vwẹ ame kẹ da."
178,imoni,21,,,,"ọ da ta, Me rẹ ovwan, imoni mẹ, we ruẹ emu umwemwu tiọnana-a."
179,emeshare,20,,,,"Noa de vwó emeshare ẹ́rha, Shẹm, Ham kugbe Jafet."
180,rhivwi,20,return,rhívwi,rhívwi,"Vwọ kẹ oma wẹn, ku wo rhivwi bru esẹ wẹn ra egberhẹnẹdẹ, ke shi we vẹ uyovwi esha hẹrẹhẹrẹ."
181,vwerhẹ,19,sleep / Sleep,vwerhẹ,vwerhẹ,"Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwó mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;"
182,phi,19,,,,Etiyin odibo na de phi obọ phihọ ekpoghowọ rẹ Ebraham rẹ onini rọye o de duvwu iyori fiki rẹ ota nana.
183,jẹ,19,Pick ; Selecting  in  turns,Jẹ,Jẹ,"kugbe oka rẹ ephra ri obenu na ighwrẹ́ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na."
184,buebu,19,Many ;  Plenty  ;  a  lot. / plenty,buebu,buebu,"Vwọ kẹ ovwan, we vwiẹ ri we bu phihọ, we vwiẹ buebu vwẹ akpọ na ru we bu phihọ."
185,obuko,19,"back, behind",obúko,obúko,"Nighe, ke Me vẹ owẹ cha re ọphọ kugbe uvwiẹ wẹn rọ cha vwẹ obuko wẹn,"
186,usun,19,,,,"Etiyin Ebram de vrẹn nẹ Ijipt, te ọye vẹ aye rọye, kugbe obo ro vwori ejobi, ọ vẹ Lọt usun, vwo kpo obi Nẹgẹb."
187,vwori,19,,,,"Fero da kpokpa kẹ ihwo rọye kpahe Ebram, ayen de suo ro ughere, te aye rọye kugbe ihwo ro vwori ejobi."
188,opharo,19,face,opháro,opháro,"Ayen da dia nẹ Havilah rhi te Shur, ro hirhe opharo ku Ijipt vwẹ ọke re de kpo Asiria; ọ da dia hirhe úko ku ihwo rọye."
189,nure,19,,,,"Ẹkẹvuọvo Ebram da ta kẹ ovie ri Sodọm, Mi vẹ kẹ Ọrovwohwo Ọghẹnẹ ro Me Kpenu nure, ọ rọ ma odjúvwu vẹ akpọ,"
190,riẹn,19,,,,"Ẹkẹvuọvo ọ da ta, E Ọrovwohwo Ọghẹnẹ, komavọ mi ru riẹn nẹ mi che vwo otọ na?"
191,ason,19,night / darkness,asón,asón,"ayen de se Lọt, nẹ, Ke eshare ri wo uwevwi wẹn ason na rhọ? Reyọ ayen phia kẹ avwanre, rere avwanre vughe ayen."
192,iyesi,19,horse / Horse,iyési,iyési,"Ọke rọ vwọ ke da nu, ọ da ta, Mi ji vo kẹ iyesi wẹn na rere ayen je da."
193,juda,19,,,,"Emọ ri Leah Rubẹn (owanra ri Jekọp), Simiọn, Livae, Juda, Isaka, kugbe Zẹbulọn."
194,emesẹ,19,,,,Kọye ihwe rẹ emesẹ ri Josẹf da yanran kpo Ijipt ra dẹ oka.
195,dẹ,18,Buy,Dẹ,Dẹ,Ẹ́dẹ ighwrẹ́ vwọ wan nu oghwe na de rhi ku akpọ na.
196,uvwre,18,midst,uvwré,uvwré,"Ọghẹnẹ da ta ki Noa, Ọnana kẹ oka rẹ ọphọ na ri mi vwo mu vwẹ uvwre mẹ kugbe uvwo ejobi rọ enu rẹ akpọ na."
197,uri,18,two hundred / Two   hundred / Two  hundred,urí,urí,"Noa da rhoma dia akpọ na ikpe uri gbẹ ujughwrẹ gbẹ ihwe, vwẹ ọke rẹ oghwe na vwo kunu."
198,abọ,18,,,,"Ọke rẹ ihwo vwọ kua nẹ abọ rẹ ọnre da vacha re, ayen da rhe mrẹ uphephe ọvo vwẹ otọ ri Shinar ayen da dia Etiyin."
199,ovwẹ,18,,,,"Die wọ vwọ tanẹ oníọvo mẹ? rọ da nẹrhẹ ovwẹ reyọ vwo ru aye? Nighe aye wẹn na, reyọ ru wọ yanran."
200,etinẹ,18,here,etinẹ,etinẹ,"Etiyin Jekọp de gbunie rhọvwọ nẹ ovwerhẹ rhe ọ da ta, Omuẹro nẹ Ọrovwohwo etinẹ na, ye Me gbe riẹ-ẹn."
201,obọrhe,17,right hand,obọ́rhe,obọ́rhe,"Odẹ rẹ urhie rerha ki Tigris, rọ djẹ nene obọrhe rẹ Asira. Urhie rẹne ki Yufretis."
202,ghwẹ,17,pack (things),ghwẹ,ghwẹ,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
203,chekọ,17,,,,o de phi uvwre rẹ oyan rẹ ẹdọke erha vwọ kẹ oma rọye vi Jekọp; Jekọp da ghẹrẹ igodẹ ri Laban ri chekọ.
204,ọvuọvo,17,same,ọvuọvo,ọvuọvo,"Vwẹ ẹdẹ ọvuọvo na Noa vẹ emọ rọye, Shẹm vi Ham kugbe Jafẹt, aye ri Noa vẹ eya erha rẹ emọ rọye ejobi da ro evun rẹ okọ,"
205,ekru,17,bundle / Bundle,ekru,ekru,"ẹkẹvuọvo kpo uwevwi rẹ ọsẹ mẹ kugbe ekru mẹ, ra reyọ aye kẹ ọmọ mẹ."
206,kiri,17,,,,"Mi ru uvwiẹ wẹn bu kiri ibiekpẹn rẹ otọ na, kọye ohwo de se kere ibiekpẹn rẹ otọ na, ko ji se kere uvwiẹ wẹn."
207,kẹrẹ,17,"near, next, by",kẹrẹ́,kẹrẹ́,"Ebram da dia otọ ri Kenan, yi Lọt ra dia uherevie rẹ irere rẹ ushekpotọ na, o de mu erhọ kẹrẹ Sodọm."
208,oni,17,mother / Mother,óni,óni,Etiyin ọmọtẹ na da djẹ re gbe ikun rẹ emu nana ejobi kẹ ihwo rẹ uwevwi rẹ oni rọye.
209,pha,16,,,,oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.
210,ivun,16,,,,"Gba vwẹ urhé ri gofa kare ókọ̀, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe."
211,dje,16,spray (somebody with medicine by mouth),dje,dje,Noa de ru ọna; o de ru emú ejobi rẹ Ọghẹnẹ dje kẹ nẹ o ru.
212,gbi,16,,,,"Ebram da ta ki Lọt, E gbi jẹ oseghe dia uvwre wẹ vẹ ọmẹ-ẹ kugbe uvwre rẹ isuigodẹ wẹn vẹ emẹ-ẹ, kidie avwanre iniọvo."
213,asakiephana,16,,,,Asakiephana akpọ na ejobi kẹ ephẹrẹ ọvo kugbe emeta tutuno.
214,mie,16,take,mie,mie,"Etiyin o de mie ayen eyenre na ejobi, ọ da reyọ Lọt omoni rọye vẹ eyenre rọye, kugbe eya na vẹ ihwo na ejobi."
215,ruẹ,16,,,,"O de se Ọrovwohwo gbuyota, o de kere vwọ kẹ nẹ ọvwata o ruẹ."
216,dianẹ,16,,,,"Abimẹlẹk da ta, Ọna didi emu wo ru avwanre na? Ọ dianẹ kẹ ọvo vwẹ usu rẹ avwanre na vwẹ oma te, yọ nẹrhẹ avwanre riabe."
217,ghwa,16,Gift  for  good  performance  e.g.  dancing,Ghwá,Ghwá,"Die wọ vwọ bẹbẹ djẹ, wọ vwọ ghwa vwẹ re, ru wo vwo ju vwe ẹvuẹ, rere Me heha kẹ wẹ vẹ ekpata kugbe isoroguun?"
218,ilori,16,,,,"Enana eye ilori rẹ emọ rẹ Isọ. Emọ rẹ Elifaz rẹ ọwanra rẹ Isọ: ilori na ke ena; Timan, Omar, Zefo, Kenaz,"
219,kpenu,15,high,kpénu,kpénu,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
220,yẹ,15,,,,"Te ọshare na ve ayé rọye da ban phihọ, yẹ oma vo aye-en."
221,koko,15,Gather,Koko,Koko,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
222,ẹgborho,15,many towns grouped together,ẹ́gbórho,ẹ́gbórho,"Ki mi ru we vwọ dia ẹgborho buebu, ki mi bruphihọ kẹ wẹ, ki mi ru odẹ wẹn rho, eriyin na ku wọ dia ebruphihọ."
223,shikẹm,15,,,,"Ebram de ki otọ na re te asan re se Shikẹm, re te ọhahe ri Morẹh. Vwẹ ọke yena yẹ ihwo ri Kenan ji otọ na."
224,ga,15,serve / Serve  ;  Worship,ga,ga,"Ikpe ihwivẹ soso ọ́ye ayen ga Chedor-laomer, ẹkẹvuọvo ikpe rẹ ihwerha re, ophu de rhi mu ayen kpahọ."
225,shi,15,bury,shi,shi,"Vwọ kẹ oma wẹn, ku wo rhivwi bru esẹ wẹn ra egberhẹnẹdẹ, ke shi we vẹ uyovwi esha hẹrẹhẹrẹ."
226,mrevun,15,,,,Enẹ kọye emetẹ ri Lọt ivẹ na wan oma rẹ ọsẹ rayen mrevun.
227,didi,15,,,,"Abimẹlẹk da ta, Ọna didi emu wo ru avwanre na? Ọ dianẹ kẹ ọvo vwẹ usu rẹ avwanre na vwẹ oma te, yọ nẹrhẹ avwanre riabe."
228,ma,14,mould,ma,ma,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
229,vo,14,draw (e.g. water out of well) / Fetch      e.g....,vo,vo,"Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọsháre ọ́vo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ."
230,okọ,14,boat/canoe,okọ,okọ,"Gba vwẹ urhé ri gofa kare ókọ̀, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe."
231,kpare,14,lift,kpare,kpare,"Oghwe na de ku ẹ́dẹ ujuvẹ vwẹ enu rẹ akpọ na, amé na de bu phihọ, o de mu okọ na kpenu, ọ da kpare kpenu phenephene."
232,oshọ,14,fear,oshọ,oshọ,"Rẹ ọnre vwo kpotọ re, ovwerhẹ rode de mu Ebram, o vwo ni, oshọ rode vẹ egho de rhi rhuro."
233,nahọr,14,,,,"Ri Serug vwọ dia ikpe ọgban re, ọ da rhe dia ọsẹ ri Nahọr,"
234,bruphihọ,14,,,,"Ki mi ru we vwọ dia ẹgborho buebu, ki mi bruphihọ kẹ wẹ, ki mi ru odẹ wẹn rho, eriyin na ku wọ dia ebruphihọ."
235,ekuakua,14,property,ekuakua,ekuakua,"Kọye ivwighrẹ na da ghwẹ ekuakua ri Sodọm vi Gomora reyọ, kugbe emuọre rayen ejobi ayen da yanran kpo,"
236,die,14,what,dié,dié,"Etiyin Fero de se Ebram, ọ da ta, Ọnana die wo ru kẹ vwẹ na? Kidie wọ gbe ta kẹ vwẹ nẹ aye wẹ-ẹn?"
237,ka,14,,,,"Te ọ re vwiẹri vwẹ uwévwi wẹn kugbe ọ ra vwẹ ighó dẹ, ka yanvwọ. Kọye ọphọ mẹ na kọ dia oma wẹn dia ọphọ re rara."
238,nonẹ,14,Today,Nonẹ,Nonẹ,"Ọ rẹ otete de ji vwiẹ ọ́mọsháre, o de se odẹ rọye Ben-ammi, kọye ọsẹ rẹ ihwo rẹ Ammọn rhi te nonẹ na."
239,rọvwọ,14,marry,rọvwọ,rọvwọ,"Ọ da dia ághwá ri Paran, oní rọye da reyọ ọ́mọtẹ́ rẹ Ijipt vwọ kẹ vwọ rọvwọ"
240,urhie,13,river / Sea/river/ocean,urhié,urhié,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
241,eye,13,,,,"Enana eye ilori rẹ emọ rẹ Isọ. Emọ rẹ Elifaz rẹ ọwanra rẹ Isọ: ilori na ke ena; Timan, Omar, Zefo, Kenaz,"
242,eka,13,Curse,Eka,Eka,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
243,ujori,13,One  hundred,Ujori,Ujori,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
244,ujuvẹ,13,forty / Forty,ujúvẹ,ujúvẹ,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
245,agbada,13,bridge / Bridge,agbada,agbada,"Ebram da ghwiẹ utughẹ rọye, ọ da rhe dia kẹrẹ ọhahe ri Mamre, rọ kẹrẹ Hebrọn, kẹ Etiyin ọ da so agbada kẹ Ọrovwohwo."
246,bu,13,be plentiful,bu,bu,"Oghwe na de ku ẹ́dẹ ujuvẹ vwẹ enu rẹ akpọ na, amé na de bu phihọ, o de mu okọ na kpenu, ọ da kpare kpenu phenephene."
247,ẹsosuọ,13,First  ;  Beginning,Ẹsosuọ,Ẹsosuọ,"Noa kọye ọghwẹrẹ rẹ ẹsosuọ rọ tu voro otọ na. Ọ da kọn ogbá ri vain,"
248,muo,13,Carry,Muo,Muo,"ọ da da udi ri vain na, udi de muo, o de shevwerhẹ otọ rẹ utughẹ rọye vẹ ẹbẹba."
249,epha,13,"oracle, divination / Oracle",epha,epha,"Kẹ ọtiọye mi epha, uvo mu vwe kẹdẹ kẹdẹ, ekpae kason kason, ovwerhẹ rẹ obọ mẹ da mrẹ vwẹ djẹ"
250,oboyi,13,,,,"Nighe, orere rọ oboyi na kẹrobọ ra dje ra, o ke je havwe. Ju vwe djẹ kpo Etiyin - ọ dia ọhahavwe? - erhí mẹ kọ rhọ;"
251,hẹt,13,,,,"ihwo ri Hẹt, ihwo ri Pẹriz, ihwo ri Rifrem,"
252,bro,13,Cut  it.,Bro,Bro,"Eriyin odibo na da djẹ bro, ọ da ta, Biko kẹ vwẹ ama ame rẹ ochẹ wẹn na da."
253,ishmael,13,,,,"Ebraham da ta kẹ Ọghẹnẹ, E mane ke wan rhọvwe nẹ Ishmael dia obaro wẹn vwonẹ;"
254,tare,13,,,,"Ọ da ta kẹ, Nighe, Me je rhọvwe oyare nana kẹ wẹ rhe, Me gbe ghwọrọ orere na ro wọ tare na-a."
255,ọmọshare,13,boy / Boy ;  Son,ọ́mọ́share,ọ́mọ́share,Bilhah da mrevun o de vwiẹ ọmọshare ki Jekọp.
256,ọna,12,,,,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
257,oro,12,gold / Gold,oro,oro,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
258,rhie,12,open,rhie,rhie,"Vwẹ ẹdẹ ujuvẹ vwọ wan nu Noa de rhie evakpo rẹ okọ na rọ kare na,"
259,bẹsiẹ,12,,,,"o de siobọ nẹ okpemu, o da rhá kpenẹ kpenẹ bẹsiẹ rẹ ame na rhe vwọ kpọ nẹ akpọ na."
260,uwe,12,thorn,úwe,úwe,"kugbe eranvwe keranvwe ekpokpọ re vẹ owẹ gba herọ, uche ri nene uwe nẹ evun rẹ okọ na rhe."
261,ọviẹn,12,,,,"ọ da ta, Eka ki Kenan, ọviẹn rẹ ọviẹn wọ dia kẹ iniọvo wẹn."
262,bẹtẹl,12,,,,"O de vrẹn nẹ Nẹgẹb ọ da yan rhiri re te Bẹtẹl, re te asan rọ bọn utughẹ rọye phihọ ẹsosuọ, uvwre ri Bẹtẹl vẹ Ai,"
263,ẹro,12,eye / Eye,ẹro,ẹro,"Ayen da vwẹ egho rhurhu ihwo ri bi koko anurhoro na ẹro, te emọ te ekpako, ki ruẹ rhurhu vwẹ abọ guọnọ anurhoro."
264,iyori,12,curse,iyori,iyori,Etiyin odibo na de phi obọ phihọ ekpoghowọ rẹ Ebraham rẹ onini rọye o de duvwu iyori fiki rẹ ota nana.
265,jovwo,12,leave off,jovwo,jovwo,"Ọrovwohwo de bru Sera rhe kirobo rọ ta kẹ jovwo, Ọrovwohwo de ru kẹ Sera kirobo ro vẹ kẹ."
266,mudia,12,stand,mudia,mudia,"Ebraham da yan vwẹ irhiọke ride vwo kpo asan ro de mudia vwẹ obaro rẹ Ọrovwohwo na,"
267,orivwi,12,corpse,orivwi,orivwi,"Ebraham de vrẹn nẹ asan orivwi na, o da ta kẹ ihwo ri Hẹt na,"
268,onotu,12,commissioner/minister,onótu,onótu,Abimẹlẹk da yan ni Gẹra bro ra ọ vẹ Ahuzath re ọbuiroro rọye kugbe Fikol rẹ onotu rẹ ofovwi rọye.
269,viẹ,12,cry / Weep  ;  Cry  ; Grief,viẹ,viẹ,Sera de ghwu vwi Kiriatharba (kọye Hebrọn) vwẹ otọ ri Kenan. Ebraham de vweri Sera ọ da viẹ kẹ.
270,kpata,12,,,,"Ọ da ta, Da, ọrovwovwe; o de wo ochẹ na kpata kpata, ọ da vwẹ ame kẹ da."
271,idjerhe,12,road / Road,idjérhe,idjérhe,"Etiyin Rachel de ghwu, e de sho vwẹ idjerhe rẹ Efrat (kọye Bẹtlẹhẹm),"
272,igho,12,money / Money,igho,igho,Ọ dianẹ avwanre họhọ ọrharha vwọ kẹ? Fikiridie ọ shẹ avwanre nure ọ ke je re igho rẹ avwanre nure.
273,ewun,12,shirt,éwun,éwun,"Etiyin ayen da reyọ ewun ri Josẹf, ayen de hwe ẹvwe, ayen da vwẹ ewun na gbunie ọbara na,"
274,ne,11,"excrete, pass out faeces / Pass   feces",ne,ne,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
275,keranvwe,11,,,,"te ayen kugbe eranvwe keranvwe, deranvwe doka, te uchuru duchuru doka rọye, dọphra doka rọye."
276,rode,11,big,rode,rode,"Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwó mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;"
277,ọgban,11,horn,ọgban,ọgban,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
278,ghwọrọ,11,waste,ghwọrọ,ghwọrọ,"kugbe oka rẹ ephra ri obenu na ighwrẹ́ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na."
279,iri,11,,,,"Eránvwe ri tete omá, kugbe iri gbe oma, te ephra, te obo ri kpono vwẹ otọ na,"
280,so,11,tap,so,so,"Ebram da ghwiẹ utughẹ rọye, ọ da rhe dia kẹrẹ ọhahe ri Mamre, rọ kẹrẹ Hebrọn, kẹ Etiyin ọ da so agbada kẹ Ọrovwohwo."
281,utughẹ,11,hut / Hut,útughẹ,útughẹ,"ọ da da udi ri vain na, udi de muo, o de shevwerhẹ otọ rẹ utughẹ rọye vẹ ẹbẹba."
282,tavwe,11,,,,"Oniọvo rọye kugbe oni rọye da tanẹ, Jẹn ọmọ na hẹrhẹ tavwe, kiri emu rẹ ason ihwe; rẹ ẹdẹ na da wan nu ro ki kpo."
283,sodọm,11,,,,"Ebram da dia otọ ri Kenan, yi Lọt ra dia uherevie rẹ irere rẹ ushekpotọ na, o de mu erhọ kẹrẹ Sodọm."
284,kere,11,count,kere,kere,"Mi ru uvwiẹ wẹn bu kiri ibiekpẹn rẹ otọ na, kọye ohwo de se kere ibiekpẹn rẹ otọ na, ko ji se kere uvwiẹ wẹn."
285,eshare,11,,,,"ayen de se Lọt, nẹ, Ke eshare ri wo uwevwi wẹn ason na rhọ? Reyọ ayen phia kẹ avwanre, rere avwanre vughe ayen."
286,vughe,11,know/recognise / Recognise,vughe,vughe,"ayen de se Lọt, nẹ, Ke eshare ri wo uwevwi wẹn ason na rhọ? Reyọ ayen phia kẹ avwanre, rere avwanre vughe ayen."
287,ju,11,,,,"Nighe, orere rọ oboyi na kẹrobọ ra dje ra, o ke je havwe. Ju vwe djẹ kpo Etiyin - ọ dia ọhahavwe? - erhí mẹ kọ rhọ;"
288,idọm,11,,,,"Jekọp de ji ikọ bru Isọ rẹ oniọvo rọye ra vwẹ otọ ri Seir rẹ orho rẹ Idọm,"
289,ipe,11,,,,"igodẹ na de vwiẹ vwẹ obaro rẹ oghọ rẹ urhé ro keri ipe na, ẹvo de vwiẹ iri vẹ ipe efuanfon, ẹvo vẹ irhiẹ efa ibiebi."
290,sẹro,10,,,,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
291,i,10,expresses sad feelings,í,í,"Ebraham da ta kẹ nẹ, E ja mrẹ nẹ wọ rhoma reyọ ọmọ mẹ kpo oboyi-i."
292,ye,10,,,,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
293,rhọ,10,rain,rhọ,rhọ,Osio da rhọ phihọ akpọ uvó ujuvẹ kugbe asón ujuvẹ.
294,siobọ,10,,,,"o de siobọ nẹ okpemu, o da rhá kpenẹ kpenẹ bẹsiẹ rẹ ame na rhe vwọ kpọ nẹ akpọ na."
295,sun,10,,,,"Ohwo ro sun ọbara rẹ ohwo te otọ, ohwo ọfa ji sun ọbara rọye te otọ, kidie Ọghẹnẹ ma ohwo vwẹ uhoho rọye."
296,haran,10,,,,"Ri Terah vwọ dia ikpe ujọ́rha gbẹ ihwe re, ọ da rhe dia ọsẹ rẹ Ebram, Nahọr, kugbe Haran."
297,mọ,10,produce,mọ,mọ,"Serai kẹ ẹga, o vwiẹ ọ́mọ-ọ."
298,ugbenu,10,mountain/hill / Hill,ugbenu,ugbenu,"Jekọp de ze izobo vwẹ enu rẹ ugbenu na o de se ihwo rọye nẹ iri re emu, ayen da re ayen da vwerhẹ enu rẹ ugbenu na."
299,oyan,10,walk/movement,óyan,óyan,Ebram da rhoma mu oyan họ ọ da garo vi obi Nẹgẹb.
300,riẹnre,10,,,,"Ọke ro che vwo te otọ rẹ Ijipt re, ọ da ta kẹ Serai rẹ aye rọye, Me riẹnre nẹ wẹ aye vẹ erhuvwu siẹ re de ni we."
301,yovwi,10,,,,"Gba ta kẹ ayen nẹ wẹ oníọvo mẹ́, rere o vwo yovwi kẹ vwẹ fiki wẹ, rere Me mrasan rhọ fiki wẹ."
302,ẹn,10,,,,"Etiyin Fero de se Ebram, ọ da ta, Ọnana die wo ru kẹ vwẹ na? Kidie wọ gbe ta kẹ vwẹ nẹ aye wẹ-ẹn?"
303,vuẹ,10,tell / Tell     him/her,vuẹ́,vuẹ́,"Ẹdẹ yena vuọvo na idibo rẹ Aizik da rhe vuẹ kpahe orhare rẹ ayen tọnre, ayen da ta ke, Avwanre mrẹ ame re."
304,ẹkẹn,10,,,,"Ebruba kẹ Ọghẹnẹ ro Me Kpenu, rọ reyọ ivwighrẹ wẹn phihọ owẹ obọ. Ebram da vwẹ ẹkẹn ihwe rẹ ekuakua na ejobi kẹ."
305,u,10,,,,"nẹ Me sa reyọ ogẹ rẹ oruru-u, eyẹ úfi rẹ isabatoo, eyẹ kemu kemu rọ dia ọwẹ-ẹn, wọ da rha tanẹ, Mẹ́vwẹ nẹrhẹ Ebram fe."
306,irhiọke,10,,,,"Ebraham da yan vwẹ irhiọke ride vwo kpo asan ro de mudia vwẹ obaro rẹ Ọrovwohwo na,"
